	TFH_Rep1	TFH_Rep2	TH1_Rep1	TH1_Rep2
Chmp2a	348	879	1407	1096
Chmp2b	363	609	572	312
Chmp4b	4590	5811	6861	4419
Chmp4c	1	0	5	3
Chmp5	1187	1800	2101	1518
Chmp6	586	1008	1172	726
Chmp7	995	1681	1752	1333
Chn1	3	10	9	5
Chn2	97	90	206	35
Chordc1	2969	5465	4732	3732
Chpf	393	723	835	624
Chpf2	360	617	717	527
Chpt1	131	222	259	121
Chrac1	230	526	409	293
Chrd	0	0	0	0
Chrdl2	0	0	0	0
Chrm1	0	1	2	0
Chrm3	20	19	10	4
Chrm4	171	382	351	288
Chrna1	1	4	7	1
Chrna10	0	0	0	0
Chrna2	11	20	20	22
Chrna4	0	0	0	1
Chrna5	0	0	0	0
Chrna9	1	3	6	2
Chrnb1	20	28	49	24
Chrnb2	52	85	61	50
Chrnb4	0	2	1	0
Chrnd	0	0	0	0
Chrne	0	9	3	5
Chrng	0	0	0	0
Chst1	0	2	0	3
Chst10	481	1003	2061	1394
Chst11	358	453	1881	854
Chst12	327	614	982	689
Chst14	76	132	165	119
Chst15	140	174	79	59
Chst2	582	1228	1516	1008
Chst3	7	15	6	1
Chst4	0	0	0	0
Chsy1	586	918	5493	3455
Chtf18	506	938	1404	1027
Chtf8	2542	4584	4974	2587
Chuk	2300	3925	3816	1836
Churc1	403	724	477	400
Ciao1	668	1172	1299	1045
Ciapin1	804	1389	1341	776
Cib1	552	1316	1646	1016
Cib2	1	2	5	12
Cib3	2	6	4	4
Cib4	0	0	0	0
Cic	3053	5445	4887	2675
Cidea	0	0	0	0
Cideb	1	4	3	15
Ciita	3	1	4	7
Cilp	0	0	1	0
Cilp2	1	0	2	0
Cinp	549	1059	835	689
Cir1	581	784	760	620
Cirbp	371	600	1001	764
Cirh1a	1491	2376	2006	943
Cisd1	356	760	923	762
Cisd2	1183	1947	1666	805
Cisd3	282	563	1112	406
Cish	117	113	937	385
Cit	928	1843	2110	1833
Cited1	0	0	0	1
Cited2	420	956	1096	539
Cited4	2	10	18	16
Ciz1	1053	1437	1615	810
Ckap2	1611	2809	3355	1704
Ckap2l	2000	3625	4124	2174
Ckap4	22	49	27	23
Ckap5	3560	6885	7114	5506
Ckb	153	266	751	783
Cklf	54	97	264	136
Ckm	3	2	8	6
Ckmt1	2	5	11	7
Ckmt2	0	0	0	0
Cks1b	929	1699	2115	949
Cks2	724	1495	1880	1309
Clasp1	1678	3353	3094	2030
Clasp2	1142	2133	1842	1211
Clasrp	687	1049	1122	885
Clca1	0	0	1	1
Clca2	0	9	4	1
Clcc1	749	1273	962	1261
Clcf1	92	99	203	130
Clcn1	4	8	8	5
Clcn2	18	32	35	34
Clcn3	1321	2482	2194	1261
Clcn4-2	1635	2961	2423	2646
Clcn5	66	137	209	146
Clcn6	141	195	211	204
Clcn7	813	1376	1150	640
Clcnka	0	1	0	0
Clcnkb	2	3	1	0
Cldn10	31	26	8	7
Cldn12	27	43	57	25
Cldn13	0	0	0	0
Cldn14	0	0	0	0
Cldn15	5	2	3	2
Cldn19	1	0	1	0
Cldn20	1	3	3	0
Cldn23	1	1	0	0
Cldn4	1	0	2	19
Cldn6	1	0	0	0
Cldn7	0	3	2	4
Cldnd1	501	774	921	602
Cldnd2	2	3	43	38
Clec10a	0	3	1	7
Clec11a	0	1	0	1
Clec12a	7	5	7	17
Clec16a	560	916	767	526
Clec1a	0	0	0	0
Clec1b	0	0	0	1
Clec2d	2302	3821	3342	769
Clec2e	0	0	0	1
Clec2g	20	74	21	5
Clec2h	1	0	1	5
Clec2i	515	770	214	64
Clec2l	0	0	16	10
Clec3b	1	3	4	3
Clec4a1	0	6	1	28
Clec4a2	0	3	3	1
Clec4a3	0	6	0	17
Clec4b1	0	0	0	0
Clec4d	3	11	3	4
Clec4e	2	8	0	20
Clec4g	0	0	0	0
Clec4n	0	4	1	6
Clec5a	0	4	0	4
Clec7a	18	40	24	35
Clec9a	1	0	0	0
Clgn	3	2	5	0
Clic1	4960	9267	12380	9174
Clic3	24	23	43	49
Clic4	2508	4187	4717	3485
Clic5	4	4	23	16
Clic6	1	0	0	0
Clint1	4310	7239	8309	6784
Clip1	2295	3656	4584	3938
Clip2	72	98	106	78
Clip3	31	36	22	13
Clip4	0	0	0	0
Clk1	3477	4843	4698	3189
Clk2	1056	1784	1549	917
Clk3	1454	2430	3056	1543
Clk4	995	1768	1778	1120
Clmn	2	4	3	7
Cln3	816	1020	1454	1041
Cln5	338	672	661	337
Cln6	431	614	557	227
Cln8	146	294	253	164
Clnk	0	0	0	0
Clns1a	1556	2333	2474	1111
Clock	360	665	768	429
Clp1	807	1258	1575	836
Clpb	544	1021	829	589
Clpp	164	315	341	174
Clps	0	0	2	0
Clptm1	1715	2830	4166	1928
Clptm1l	3295	6340	5968	4011
Clpx	677	1215	1199	852
Clrn1	0	0	0	1
Clrn3	0	0	1	0
Clspn	2664	4165	4844	5486
Clstn1	539	946	685	365
Clstn3	1	4	1	4
Clta	3586	5456	7562	6471
Cltb	404	608	488	343
Cltc	9460	17032	15720	11523
Clu	2	0	0	1
Cluap1	254	485	332	308
Clvs1	0	4	0	0
Clybl	94	170	327	184
Cma1	0	0	0	1
Cmah	2281	4684	5432	3430
Cmas	1638	2808	2756	2424
Cmbl	3	0	4	0
Cmc1	316	769	613	238
Cmklr1	2	4	61	32
Cml1	23	35	50	27
Cml2	0	0	2	0
Cml3	4	2	1	3
Cmpk1	1403	2293	2658	1702
Cmpk2	1594	2592	2960	2071
Cmtm2a	2	3	5	18
Cmtm3	80	134	211	106
Cmtm4	109	203	326	281
Cmtm6	3090	5227	6574	5693
Cmtm7	1126	2358	4836	3122
Cmtm8	0	1	15	8
Cmya5	71	80	51	36
Cnbp	4793	9067	8329	6154
Cndp2	1375	2194	2786	2203
Cnga1	88	164	99	76
Cnga3	6	9	2	4
Cngb1	0	0	1	0
Cnih	1364	2466	1823	1078
Cnih2	6	10	17	6
Cnih3	0	0	0	0
Cnih4	609	1116	1121	274
Cnksr1	1	5	4	1
Cnksr3	46	64	40	38
Cnn1	0	0	3	0
Cnn2	9963	15585	15411	9079
Cnn3	340	533	319	250
Cnnm1	0	3	3	2
Cnnm2	53	67	93	57
Cnnm3	669	1381	1075	797
Cnnm4	443	773	942	623
Cno	64	123	186	126
Cnot1	8097	15231	12544	6686
Cnot10	1915	3242	3084	2053
Cnot2	1300	2536	2025	1113
Cnot3	1276	1877	2209	1426
Cnot4	774	1224	1153	429
Cnot6	3557	6327	5935	3310
Cnot6l	4851	7929	6313	2327
Cnot7	1128	1990	1785	890
Cnot8	1376	2469	2144	1319
Cnp	3883	6623	5891	4541
Cnpy2	552	982	989	868
Cnpy3	214	395	430	345
Cnpy4	248	518	602	652
Cnr1	0	0	0	0
Cnr2	132	189	94	30
Cnrip1	13	17	15	10
Cnst	742	1415	1089	859
Cntd1	25	37	31	13
Cntf	1	0	4	1
Cntln	128	206	231	167
Cntn1	0	0	0	1
Cntn2	0	1	1	0
Cntnap1	13	22	30	10
Cntrob	410	688	760	707
Coasy	319	505	480	341
Cobll1	385	628	1892	932
Cobra1	1805	3084	2932	2552
Coch	0	1	1	0
Cog1	841	1667	1386	845
Cog2	1262	2282	2155	1230
Cog3	1181	2122	1889	1214
Cog4	772	1399	1362	965
Cog5	711	1311	878	680
Cog6	696	1288	1279	1175
Cog7	230	420	317	248
Cog8	842	1555	1548	910
Coil	366	554	488	375
Col10a1	9	2	6	7
Col11a1	0	0	0	1
Col11a2	51	62	60	79
Col12a1	0	0	1	0
Col14a1	0	3	0	0
Col15a1	2	7	7	5
Col16a1	1	0	20	12
Col17a1	0	2	1	0
Col18a1	2	3	1	2
Col1a1	16	37	7	16
Col1a2	0	0	0	8
Col20a1	10	27	28	10
Col23a1	9	12	44	13
Col24a1	0	0	0	2
Col27a1	23	14	21	12
Col2a1	0	0	2	0
Col3a1	0	0	0	15
Col4a1	0	0	0	0
Col4a2	0	0	0	0
Col4a3	3	2	2	0
Col4a3bp	1918	3384	2897	2311
Col4a4	0	0	0	0
Col4a5	0	1	0	0
Col4a6	0	0	1	0
Col5a1	0	0	0	1
Col5a2	0	0	0	3
Col5a3	66	96	309	192
Col6a2	1	0	9	5
Col6a4	1	1	0	0
Col7a1	22	28	42	49
Col8a2	0	0	0	0
Col9a2	0	0	0	0
Col9a3	20	46	39	43
Colec11	1	0	3	2
Colec12	55	52	51	63
Colq	85	146	68	37
Commd1	334	626	702	586
Commd10	412	584	741	404
Commd2	340	728	699	544
Commd3	898	1432	1683	1147
Commd4	622	1123	887	637
Commd5	207	389	424	305
Commd6	270	559	579	199
Commd7	916	1556	1855	982
Commd8	1243	2270	2301	1603
Commd9	147	243	280	213
Comp	14	18	27	14
Comt	501	880	765	387
Comtd1	49	142	129	75
Copa	10403	17646	17932	11890
Copb1	4226	7104	6979	4740
Copb2	5339	8984	8845	6546
Cope	947	1723	1987	1259
Copg	2793	4542	5079	4009
Copg2	1082	1987	1621	1109
Cops2	3073	4830	3717	1888
Cops3	1601	2597	2829	1311
Cops4	1618	2922	2995	1438
Cops5	1243	1944	2163	1092
Cops6	1077	1940	1979	1010
Cops7a	683	1247	1089	717
Cops7b	664	997	764	498
Cops8	715	1296	1270	1039
Copz1	3942	5929	6921	3514
Copz2	5	3	6	6
Coq10a	234	381	270	220
Coq10b	385	633	806	405
Coq2	419	852	719	514
Coq3	273	427	393	240
Coq4	121	213	174	120
Coq5	488	873	740	501
Coq6	306	544	494	305
Coq7	111	150	205	151
Coq9	519	1005	786	484
Corin	0	1	2	2
Coro1a	27084	44016	55402	51204
Coro1b	3095	5314	5802	3168
Coro1c	3417	5311	5999	4429
Coro2a	234	526	1514	870
Coro2b	1050	1809	684	300
Coro6	1	2	0	1
Coro7	3946	6551	7265	5028
Cort	4	3	3	0
Cotl1	11686	25503	17121	11003
Cox10	471	962	1158	662
Cox11	177	342	300	141
Cox15	970	1598	1596	925
Cox16	399	786	834	631
Cox17	569	988	1402	1500
Cox18	301	475	526	460
Cox19	224	301	376	239
Cox4i1	3183	5569	8089	13123
Cox4i2	5	4	5	2
Cox4nb	452	800	1289	606
Cox5a	1737	2714	4749	3036
Cox5b	1038	2083	2494	1033
Cox6a1	1079	4255	3852	1780
Cox6a2	0	0	0	3
Cox6b1	683	1714	3225	2442
Cox6b2	14	16	18	15
Cox6c	1402	2332	2976	1468
Cox7a1	5	13	22	14
Cox7a2	1067	1769	3659	1230
Cox7a2l	4826	7919	5903	4790
Cox7b	1710	3557	3277	683
Cox7c	529	709	956	392
Cox8a	1599	2388	4600	996
Cox8b	0	0	0	0
Cp	0	5	4	6
Cpa1	0	0	0	0
Cpa2	6	17	15	8
Cpa3	2	1	3	1
Cpa4	0	0	1	0
Cpa6	0	0	0	0
Cpb1	0	0	1	0
Cpb2	0	0	1	0
Cpd	121	237	783	497
Cpe	2	0	2	4
Cpeb1	13	23	10	3
Cpeb2	125	243	366	202
Cpeb3	5	9	2	6
Cpeb4	249	412	483	320
Cplx1	0	0	1	0
Cplx2	0	0	0	0
Cplx3	0	0	0	0
Cpm	840	1592	1476	801
Cpn1	0	0	0	0
Cpn2	0	0	0	0
Cpne1	2109	3480	3799	2545
Cpne2	21	31	43	31
Cpne3	1323	2058	1140	564
Cpne5	2	3	9	3
Cpne6	2	0	2	0
Cpne7	1	0	2	5
Cpne8	192	349	204	220
Cpne9	3	5	5	0
Cpox	543	997	1111	932
Cpped1	172	303	609	275
Cpsf1	1805	3195	3094	2012
Cpsf2	2639	4411	4361	3623
Cpsf3	1851	3210	2591	1984
Cpsf3l	1308	2341	2069	1404
Cpsf4	561	935	1014	576
Cpsf4l	11	5	17	13
Cpsf6	3430	5539	5231	2778
Cpsf7	2416	3973	4563	2421
Cpt1a	3002	5939	3770	2319
Cpt1b	4	1	3	1
Cpt1c	0	3	5	3
Cpt2	270	467	556	296
Cpvl	0	1	0	0
Cpxm1	6	7	23	6
Cpz	0	0	0	0
Cr1l	1016	1524	2416	1680
Cr2	3	5	0	5
Crabp2	6	12	21	15
Cradd	83	156	135	78
Cramp1l	1740	3094	2637	1563
Crat	111	153	238	149
Crb2	0	0	4	2
Crb3	5	4	7	2
Crbn	1990	3173	2278	1241
Crcp	709	1099	1260	582
Creb1	2862	5472	4979	3109
Creb3	489	911	1145	753
Creb3l1	28	37	103	26
Creb3l2	361	560	665	629
Creb3l3	0	1	2	0
Creb3l4	3	1	3	1
Crebbp	1218	2801	2160	1390
Crebl2	129	186	131	103
Crebzf	881	1249	1507	1180
Creg1	195	283	316	175
Creg2	0	0	0	0
Creld1	50	111	142	104
Creld2	703	1296	2707	1936
Crem	224	313	645	348
Crhbp	0	0	0	0
Crim1	200	377	375	347
Crip1	723	1820	5216	4457
Crip2	37	64	119	106
Cript	652	1145	1334	1270
Crisp1	0	0	0	0
Crisp2	0	0	0	0
Crispld1	0	0	0	0
Crispld2	7	6	24	23
Crk	1107	1734	1929	1355
Crkl	2121	4155	4297	2152
Crlf1	0	1	1	1
Crlf2	231	382	437	244
Crlf3	3146	6009	5975	4663
Crls1	311	557	365	145
Crmp1	46	119	206	464
Crnkl1	1035	1919	1649	1102
Crocc	119	210	266	205
Crot	1164	1937	3133	2262
Crtam	31	37	14	10
Crtap	258	428	415	253
Crtc1	302	453	284	170
Crtc2	1527	2196	2413	1040
Crtc3	1099	1705	1475	816
Crx	8	0	4	13
Cry1	520	1030	1835	2177
Cry2	127	204	148	172
Cryaa	0	0	0	0
Cryab	4	1	6	0
Cryba1	1	0	0	0
Cryba4	5	5	18	15
Crybb1	3	2	26	8
Crybb3	0	0	0	0
Crybg3	153	348	260	209
Crygn	1	0	3	5
Crygs	0	0	0	0
Cryl1	317	535	399	257
Cryz	72	121	189	120
Cryzl1	140	260	250	120
Cs	6662	11525	12625	5828
Csad	78	127	96	97
Csda	1371	3091	2591	1776
Csdc2	0	0	0	0
Csde1	6726	11599	12223	7628
Cse1l	4130	7908	6846	3633
Csf1	14	23	61	151
Csf1r	3	13	5	123
Csf2	0	1	5	18
Csf2ra	60	79	60	42
Csf2rb	7	30	19	53
Csf2rb2	3	9	6	1
Csf3	0	0	0	2
Csf3r	24	98	40	103
Csgalnact1	15	72	6	7
Csgalnact2	465	821	815	509
Csk	6246	9688	8799	6409
Csl	7	23	17	20
Csnk1a1	5660	10455	8282	3722
Csnk1d	3258	4809	5094	3150
Csnk1e	288	412	568	367
Csnk1g1	1517	2716	2328	1127
Csnk1g2	2049	3638	3050	2483
Csnk1g3	1265	2287	1489	1014
Csnk2a1	3998	6651	6125	3879
Csnk2a2	1137	1859	1760	935
Csnk2b	3485	5594	7666	4503
Cspg4	0	0	1	0
Cspg5	7	11	6	4
Cspp1	544	838	774	408
Csrnp1	672	1200	1383	1007
Csrnp2	127	208	159	114
Csrnp3	1	0	1	0
Csrp1	3321	5591	8019	4527
Csrp2	18	34	86	80
Csrp2bp	922	1618	1598	1378
Csrp3	0	0	0	0
Cst3	276	543	879	557
Cst6	8	11	8	2
Cst7	884	1174	2221	841
Csta	0	0	1	0
Cstad	3	2	0	2
Cstb	325	556	577	292
Cstf1	610	1172	968	555
Cstf2	2425	4157	3895	1992
Cstf2t	1160	2011	1767	1368
Cstf3	1087	2159	1807	1025
Ctage5	2743	4404	3810	2116
Ctbp1	2943	6328	5733	4442
Ctbp2	7	10	12	10
Ctbs	85	135	107	44
Ctcf	5488	9261	8825	6192
Ctcfl	2	2	6	3
Ctdnep1	1575	2581	2093	1059
Ctdp1	906	1435	1535	926
Ctdsp1	1286	1951	3410	2781
Ctdsp2	4201	7489	4850	3087
Ctdspl	64	134	114	111
Ctdspl2	1801	3321	2665	1485
Ctf1	0	2	2	0
Ctf2	0	0	0	0
Ctgf	0	0	0	1
Cth	18	33	43	29
Ctla2a	192	270	2958	1526
Ctla2b	89	165	983	760
Ctla4	2846	4178	21208	11226
Ctnna1	807	1485	2716	1885
Ctnnal1	60	102	70	45
Ctnnb1	5238	9860	7154	5229
Ctnnbip1	78	172	112	89
Ctnnbl1	1235	2416	2013	1529
Ctnnd1	7	14	11	70
Ctnnd2	1	0	2	0
Ctns	215	352	294	169
Ctps	1360	2456	2150	1606
Ctps2	1105	2202	1979	1309
Ctr9	919	1547	1727	1245
Ctrb1	0	0	1	0
Ctrl	19	30	31	18
Cts8	0	2	3	0
Ctsa	2921	4755	7158	4059
Ctsb	8008	14028	16665	9408
Ctsc	914	1773	2617	1707
Ctsd	4123	7461	18021	11067
Ctse	8368	16161	11612	6514
Ctsf	7	5	8	8
Ctsg	1	0	0	1
Ctsh	2	7	2	17
Ctsk	2	1	3	0
Ctsl	43	72	81	73
Ctso	651	904	743	491
Ctss	1669	2948	2192	1202
Ctsw	189	218	675	532
Ctsz	1017	1806	2270	1268
Cttn	100	132	79	57
Cttnbp2nl	0	2	2	12
Ctu1	105	212	228	142
Ctu2	304	537	536	450
Ctxn1	24	32	30	15
Cubn	1	4	3	2
Cuedc1	23	18	19	15
Cuedc2	207	283	345	282
Cul1	2326	4238	3209	1749
Cul2	1051	2082	1948	824
Cul3	3699	6379	5813	3507
Cul4a	1066	1975	1346	1004
Cul4b	2726	4935	3447	1700
Cul5	1328	2473	1649	827
Cul7	167	254	172	97
Cul9	51	74	75	52
Cuta	579	1091	1534	890
Cutc	228	336	342	389
Cux1	913	1519	1353	747
Cux2	0	0	0	0
Cuzd1	0	0	0	0
Cwc15	1322	2373	2471	1514
Cwc22	291	604	518	437
Cwc25	682	1103	1186	890
Cwc27	354	523	740	469
Cwf19l1	348	680	631	340
Cwf19l2	508	868	785	561
Cwh43	0	0	0	0
Cx3cl1	0	0	0	1
Cx3cr1	39	59	119	74
Cxadr	5	4	15	7
Cxcl1	0	0	0	1
Cxcl10	191	401	118	114
Cxcl11	3	4	2	2
Cxcl13	0	1	0	0
Cxcl16	2	4	13	7
Cxcl17	0	0	0	0
Cxcl2	1	1	1	0
Cxcl3	0	0	0	1
Cxcl9	0	3	2	8
Cxcr1	7	12	14	13
Cxcr2	25	105	48	39
Cxcr3	2952	4618	4068	2500
Cxcr4	1368	2230	1291	364
Cxcr5	5380	8177	2286	532
Cxcr6	541	962	13142	8689
Cxcr7	0	1	0	0
Cxx1a	10	15	17	6
Cxx1b	42	46	55	26
Cxx1c	28	42	18	15
Cxxc1	1713	2670	2883	1996
Cxxc5	20	24	29	12
Cyb5	628	1049	1312	722
Cyb561	72	106	97	111
Cyb561d1	605	956	1157	792
Cyb561d2	425	565	895	550
Cyb5b	3710	6110	5927	3830
Cyb5d1	76	210	112	78
Cyb5d2	183	287	267	104
Cyb5r1	203	327	372	211
Cyb5r2	0	0	0	0
Cyb5r3	657	1044	1155	602
Cyb5r4	1726	3231	3308	2283
Cyb5rl	41	120	88	63
Cyba	722	1126	3795	2695
Cybasc3	822	1137	1517	1574
Cybb	33	112	48	129
Cybrd1	4	6	6	2
Cyc1	1960	3578	3341	2136
Cycs	1963	3230	3396	1599
Cyct	0	0	0	0
Cyfip1	377	731	845	461
Cyfip2	11283	20903	23157	13346
Cygb	0	0	0	0
Cyhr1	525	767	855	592
Cyld	4188	6844	5469	3803
Cym	0	0	0	0
Cyp11a1	6	17	10	12
Cyp17a1	0	0	0	0
Cyp1a1	0	1	0	0
Cyp1a2	0	0	0	0
Cyp1b1	0	0	0	1
Cyp20a1	491	752	952	744
Cyp26a1	0	0	0	2
Cyp26b1	0	0	0	0
Cyp26c1	0	0	0	0
Cyp27a1	0	1	0	1
Cyp27b1	0	1	2	1
Cyp2ab1	0	0	0	0
Cyp2c44	1	0	0	0
Cyp2c65	0	0	2	0
Cyp2d22	6	20	32	41
Cyp2d26	0	1	1	0
Cyp2d40	0	0	0	0
Cyp2e1	0	13	7	5
Cyp2f2	0	0	0	0
Cyp2j11-ps	0	1	0	0
Cyp2j13	4	8	5	4
Cyp2j5	0	1	0	0
Cyp2j9	0	0	0	0
Cyp2r1	19	27	19	3
Cyp2s1	104	132	663	412
Cyp2t4	3	8	4	1
Cyp2u1	2	3	1	2
Cyp39a1	27	45	57	24
Cyp46a1	0	0	0	0
Cyp4f13	46	45	69	37
Cyp4f16	6	14	16	16
Cyp4f17	38	57	67	26
Cyp4f18	2	6	3	8
Cyp4f39	6	4	26	6
Cyp4f41-ps	5	14	10	8
Cyp4v3	106	207	94	79
Cyp51	2415	3844	4370	2880
Cyp8b1	0	0	0	0
Cyr61	0	0	0	0
Cys1	0	0	0	0
Cysltr1	4	7	19	7
Cysltr2	117	172	248	99
Cyth1	1615	3092	3013	2667
Cyth2	320	543	750	1101
Cyth3	327	559	272	141
Cyth4	3240	5674	9989	5341
Cytip	8648	14962	20746	13345
D030016E14Rik	1190	2205	1720	1429
D030018L15Rik	1	1	1	0
D030025P21Rik	1	0	0	0
D030028A08Rik	73	148	70	35
D030047H15Rik	2	1	3	4
D030056L22Rik	270	525	530	267
D0H4S114	2	0	0	0
D10Bwg1379e	23	42	50	29
D10Jhu81e	288	621	497	364
D10Wsu102e	1806	2964	2338	1369
D10Wsu52e	1991	3288	2866	2994
D11Wsu47e	213	371	310	186
D11Wsu99e	490	852	677	407
D130009I18Rik	0	0	0	0
D130017N08Rik	40	87	54	26
D130040H23Rik	55	90	52	20
D130043K22Rik	11	22	4	1
D14Abb1e	1211	2608	2028	1406
D14Ertd449e	1	0	1	1
D14Ertd668e	42	76	62	73
D15Ertd621e	1577	2938	2633	1986
D16Ertd472e	1120	1864	4526	3212
D16H22S680E	532	973	1024	424
D17H6S53E	107	224	256	241
D17H6S56E-3	2	9	19	7
D17Wsu104e	690	1066	1697	1535
D17Wsu92e	4671	7091	7684	5970
D18Ertd653e	223	324	101	44
D19Bwg1357e	1119	2027	1827	1489
D19Ertd386e	663	1313	1099	706
D19Ertd652e	20	37	49	22
D19Ertd737e	281	419	397	282
D19Wsu162e	1531	2398	3164	2700
D1Bwg0212e	1240	2128	2095	911
D1Ertd622e	645	1163	2788	2145
D1Pas1	1	4	10	1
D230025D16Rik	401	665	602	337
D230037D09Rik	166	298	398	253
D2Ertd750e	1138	2223	2545	2011
D2Wsu81e	244	419	447	318
D2hgdh	359	670	457	264
D330012F22Rik	176	264	272	171
D330028D13Rik	67	124	104	101
D330041H03Rik	57	89	108	105
D330045A20Rik	0	0	0	0
D330050I16Rik	7	28	27	7
D3Ertd254e	114	168	119	72
D3Ertd751e	163	264	231	112
D430019H16Rik	0	0	1	0
D430020J02Rik	330	541	634	396
D430041D05Rik	0	0	1	1
D430042O09Rik	471	838	516	322
D4Ertd22e	3104	5469	7491	4371
D4Ertd617e	1	4	2	0
D4Wsu53e	2821	4718	5621	3591
D5Ertd579e	650	1321	1220	1334
D5Ertd605e	4	5	19	5
D630003M21Rik	0	0	0	0
D630023F18Rik	0	0	0	2
D630029K05Rik	0	4	2	1
D630032N06Rik	6	8	13	15
D630037F22Rik	90	139	79	34
D630039A03Rik	23	23	87	43
D630041G03Rik	0	1	1	0
D630045J12Rik	10	24	25	4
D6Ertd474e	0	0	0	0
D6Ertd527e	3	2	3	3
D6Mm5e	2	2	2	9
D6Wsu116e	1645	2699	1921	1720
D6Wsu163e	390	686	751	557
D730001G18Rik	3	0	0	0
D730005E14Rik	121	237	201	183
D730039F16Rik	1	3	2	3
D730040F13Rik	578	1129	839	569
D7Ertd715e	1	0	0	1
D830030K20Rik	0	0	1	2
D830031N03Rik	148	339	142	105
D830046C22Rik	44	79	53	36
D8Ertd738e	925	1587	3115	1952
D8Ertd82e	818	1466	1034	496
D930014E17Rik	178	340	555	285
D930015E06Rik	3696	6055	5344	2671
D930016D06Rik	134	244	150	92
D930020B18Rik	0	4	1	5
D930020E02Rik	0	0	0	0
D930048N14Rik	12	36	134	100
D9Ertd402e	172	276	229	124
Daam1	113	257	255	154
Daam2	2	17	7	2
Dab2	0	0	2	9
Dab2ip	106	208	441	292
Dach1	0	0	0	1
Dach2	14	19	13	12
Dact1	7	7	4	1
Dact2	0	0	1	0
Dact3	6	8	19	5
Dad1	1103	2255	2606	935
Daf2	0	1	8	3
Dag1	192	409	338	212
Dagla	4	7	1	1
Daglb	170	321	380	242
Dak	391	670	558	482
Dalrd3	396	607	652	334
Dand5	16	32	54	34
Dao	0	1	2	0
Dap	1996	3311	4760	2285
Dap3	1463	2334	1898	1369
Dapk1	44	70	248	241
Dapk2	13	16	225	110
Dapk3	441	865	886	375
Dapl1	35	91	52	28
Dapp1	1150	1807	1387	653
Darc	0	0	1	0
Dars	3340	5360	4028	2874
Dars2	816	1395	1072	753
Daxx	4886	6948	5758	3738
Dazap1	1323	1995	2813	1295
Dazap2	8326	14405	14338	6861
Dazl	4	4	7	8
Dbf4	1630	3177	3294	2665
Dbi	629	1207	1871	975
Dbil5	0	0	1	0
Dbn1	0	2	2	0
Dbndd1	10	28	15	3
Dbndd2	32	48	104	70
Dbnl	2078	3486	4870	3153
Dbp	41	57	39	25
Dbr1	419	802	840	557
Dbt	515	748	624	485
Dbx1	1	0	0	0
Dbx2	0	0	0	1
Dcaf10	830	1393	1377	848
Dcaf11	1175	2014	1810	1146
Dcaf12	1648	3171	3213	2093
Dcaf12l1	0	0	0	0
Dcaf13	1099	1854	2558	1472
Dcaf15	1497	2749	4490	3198
Dcaf17	419	732	484	310
Dcaf4	219	308	297	173
Dcaf5	1952	3270	3076	2353
Dcaf6	386	614	577	425
Dcaf7	4769	7839	6844	6248
Dcaf8	2071	3403	2390	1727
Dcakd	242	389	331	184
Dcbld1	0	0	0	1
Dcbld2	8	23	24	28
Dcdc2a	0	0	0	0
Dcdc2b	64	117	119	80
Dcdc2c	30	73	29	42
Dchs1	0	0	0	0
Dci	80	171	202	122
Dck	5461	9248	7631	4371
Dclk1	304	601	258	124
Dclk2	180	276	544	465
Dclre1a	252	490	544	304
Dclre1b	439	739	777	909
Dclre1c	812	1155	1146	499
Dcn	0	0	2	3
Dcp1a	1728	2946	2586	1809
Dcp1b	241	410	510	210
Dcp2	2282	4111	3498	2370
Dcps	982	1379	1730	1421
Dcst1	2	5	1	4
Dctd	139	281	198	87
Dctn1	1790	3297	3808	3118
Dctn2	1493	2561	2821	2114
Dctn3	770	1341	1471	944
Dctn4	1257	1937	2442	1075
Dctn5	1201	1945	1879	1000
Dctn6	975	1445	1901	976
Dctpp1	503	1096	1490	857
